Points Used, Total X Movement (cm), Total Y Movement (cm), Total R Movement (cm), Original Number of Points
794,202.95501651827192,135.9413891767257,275.7063935304085,875
Time (s), X (cm), Y (cm), R (cm)
5.52,31.979399317528223,19.176027557765817,37.28809479721535
5.533,31.57202148419332,18.75749091582433,36.7237798443406
5.547,31.265847622116485,18.331747951050815,36.243705804874075
5.56,31.10822326631703,17.929474879025488,35.905259005118374
5.573,31.117926259218972,17.57288136621071,35.73697656748686
5.587,31.282866808918232,17.272663440636634,35.734614285283996
5.6,31.564019758370286,17.027447214628012,35.86392758683484
5.613,31.904584687410093,16.825655306528716,36.06944968488209
5.627,32.242313546991205,16.649254955416385,36.2872494608361
5.64,32.5223412152038,16.478503779001368,36.458795439683776
5.653,32.70782247344999,16.296658156322437,36.54288874759015
5.667,32.78621842737897,16.09367233722017,36.52317631402847
5.68,32.770064440308325,15.868172346111027,36.409834070314616
5.693,32.69227376450366,15.627378660508816,36.23533810649737
5.707,32.59722150619504,15.385091869065691,36.04552540529179
5.72,32.52975569758492,15.15825514674736,35.88812763071447
5.733,32.52470219822104,14.962886684792302,35.80145571097493
5.747,32.599278227575404,14.810281282054918,35.8058287519289
5.76,32.7501394444798,14.704296953667098,35.899693348752926
5.773,32.955708308364294,14.640292384461201,36.061293254797505
5.787,33.18320270713136,14.605920340351657,36.2554527056451
5.8,33.39867424681919,14.583587751945505,36.4438262695321
5.813,33.57762297622063,14.554046937951945,36.59613431778455
5.827,33.71355093546502,14.50035427093033,36.699642922795334
5.84,33.822207585945165,14.411366613057618,36.76451024619692
5.853,33.940194224218054,14.284052018976162,36.8235105069908
5.867,34.117844838239286,14.124144120088928,36.92585521732995
5.88,34.40762289814883,13.945014539581724,37.12610865698641
5.893,34.850380014996915,13.765002412712665,37.47031196309529
5.907,35.462464071175,13.603749992255647,37.982211255417624
5.92,36.226684113908334,13.478286648277997,38.65277290003975
5.933,37.08950737373818,13.399643675268802,39.43579602151768
5.947,37.96568775544942,13.370664495096717,40.25131197594337
5.96,38.75003084952473,13.385426494625229,40.996762473177476
5.973,39.33448802377504,13.430364979555268,41.56412697960305
5.987,39.62755547938019,13.486853917053567,41.85974655741836
6.0,39.57229657892357,13.534719789845164,41.822903968040194
6.013,39.15936423628849,13.555997923020577,41.439363980148734
6.027,38.43219033673641,13.538214842353453,40.74698166977347
6.04,37.48289850787489,13.476595866917329,39.83197605833614
6.053,36.439227631512054,13.374825919778962,38.816275951790416
6.067,35.44449295812826,13.244283296401253,37.83811730377367
6.080333333333334,35.52191454796741,13.274567961605522,37.921241642651715
6.093666666666667,35.59933613780656,13.304852626809788,38.004366023835566
6.107,35.676757727645715,13.335137292014057,38.08749044704825
6.120333333333334,35.75417931748487,13.365421957218324,38.17061491201519
6.133666666666667,35.83160090732402,13.395706622422592,38.25373941846417
6.147,35.90902249716317,13.425991287626859,38.336863966125385
6.160333333333334,35.98644408700232,13.456275952831128,38.41998855473132
6.173666666666667,36.06386567684147,13.486560618035394,38.50311318401679
6.187,36.14128726668063,13.516845283239663,38.5862378537189
6.200333333333334,36.218708856519775,13.54712994844393,38.669362563577
6.213666666666667,36.29613044635893,13.577414613648198,38.75248731333269
6.227,36.37355203619808,13.607699278852465,38.83561210272977
6.240333333333334,36.45097362603723,13.637983944056733,38.91873693151425
6.253666666666667,36.52839521587639,13.668268609261,39.00186179943427
6.267,36.605816805715534,13.698553274465269,39.084986706240144
6.28,36.68323839555469,13.728837939669535,39.1681116516843
