Frame,Time,X,Y
539,7.173,30.1,24.4
540,7.186,29.7,23.4
541,7.2,29.8,22.8
542,7.213,30.4,21.8
543,7.226,31.9,21.2
544,7.24,32.2,20.7
545,7.253,32.4,20.2
546,7.266,32.3,19.7
547,7.28,32,19.3
548,7.293,31.9,18.8
549,7.306,31.7,18.4
550,7.32,31.7,18
551,7.333,31.8,17.6
552,7.346,31.8,17.3
553,7.36,32.4,16.9
554,7.373,32.3,16.7
555,7.386,32.4,16.6
556,7.4,32.5,16.3
557,7.413,32.6,16.1
558,7.426,32.6,15.9
559,7.44,32.3,15.7
560,7.453,32.2,15.4
561,7.466,32.3,15.2
562,7.48,32.1,14.9
563,7.493,32.3,14.7
564,7.506,32.4,14.7
565,7.52,32.7,14.6
566,7.533,32.8,14.6
567,7.546,33.7,14.5
568,7.56,33.4,14.4
569,7.573,34.6,14.2
570,7.586,35.8,14.1
571,7.6,35.4,13.9
572,7.613,34.1,13.8
573,7.626,18.5,13.7
574,7.64,-1,-1
575,7.653,-1,-1
576,7.666,-1,-1
577,7.68,-1,-1
578,7.693,-1,-1
579,7.706,-1,-1
580,7.72,-1,-1
581,7.733,-1,-1
582,7.746,-1,-1
583,7.76,-1,-1
584,7.773,-1,-1
585,7.786,-1,-1
586,7.8,-1,-1
587,7.813,-1,-1
588,7.826,-1,-1
589,7.84,-1,-1
590,7.853,-1,-1
591,7.866,-1,-1
592,7.88,-1,-1
593,7.893,-1,-1
594,7.906,-1,-1
595,7.92,18.5,13.7
596,7.933,30.8,13.5
597,7.946,34.1,13.8
598,7.96,32.4,14.3
599,7.973,32.9,14.4
600,7.986,32.5,14.5
601,8,32.9,14.6
602,8.013,32.9,14.6
603,8.026,32.8,14.7
604,8.04,32.4,14.8
605,8.053,32.6,14.9
606,8.066,32.5,14.9
607,8.08,32.6,15
608,8.093,32.6,15.2
609,8.106,32.7,15.3
610,8.12,32.8,15.4
611,8.133,32.9,15.4
612,8.146,32.9,15.4
613,8.16,32.8,15.5
614,8.173,32.6,15.6
615,8.186,32.6,15.7
616,8.2,32.3,15.8
617,8.213,32.3,15.8
618,8.226,32.1,15.7
619,8.24,32.2,15.5
620,8.253,31.8,15.3
621,8.266,31.5,15.1
622,8.28,31.2,15
623,8.293,30.9,15
624,8.306,30.4,15
625,8.32,30,15.1
626,8.333,29.9,15.1
627,8.346,29.7,15
628,8.36,29.3,15.1
629,8.373,29,15
630,8.386,29.3,14.9
631,8.4,29.4,14.8
632,8.413,29.4,14.7
633,8.426,29.5,14.7
634,8.44,29.9,14.6
635,8.453,30.6,14.6
636,8.466,31.6,14.5
637,8.48,32.1,14.5
638,8.493,32.3,14.5
639,8.506,31.8,14.5
640,8.52,31.4,14.7
641,8.533,30.8,14.8
642,8.546,30.4,14.8
643,8.56,29.8,15.1
644,8.573,29.6,15
645,8.586,29.2,15.3
646,8.6,28.9,15.3
647,8.613,28.5,15.3
648,8.626,28.6,15.4
649,8.64,28.5,15.6
650,8.653,28.5,15.6
651,8.666,28.2,15.5
652,8.68,27.9,15.6
653,8.693,28.1,15.5
654,8.706,28.4,15.5
655,8.72,29.6,15.3
656,8.733,29.9,15.2
657,8.746,30.1,15
658,8.76,30.2,15.1
659,8.773,30.3,15.2
660,8.786,29.8,15.2
661,8.8,30.1,15.2
662,8.813,30.9,15.2
663,8.826,31,15.3
664,8.84,31.1,15.3
665,8.853,31.4,15.4
666,8.866,31.8,15.4
667,8.88,32.1,15.4
668,8.893,32.3,15.2
669,8.906,32.5,15.4
670,8.92,32.5,15.3
671,8.933,32.3,15.4
672,8.946,32.1,15.4
673,8.96,32.1,15.4
674,8.973,32.5,15.4
675,8.986,32.6,15.5
676,9,32.5,15.4
677,9.013,32.5,15.4
678,9.026,32.5,15.3
679,9.04,32.6,15.2
680,9.053,32.5,15.1
681,9.066,32.3,14.8
682,9.08,32.4,14.8
683,9.093,32.3,14.7
684,9.106,32.4,14.6
685,9.12,32.9,14.6
686,9.133,32.9,14.6
687,9.146,32.4,14.5
688,9.16,32.8,14.3
689,9.173,34.2,14.1
690,9.186,31.3,14.1
691,9.2,30.3,14.1
692,9.213,30.4,13.9
693,9.226,30.6,13.7
694,9.24,30.4,13.8
695,9.253,-1,-1
696,9.266,-1,-1
697,9.28,-1,-1
698,9.293,-1,-1
699,9.306,-1,-1
700,9.32,-1,-1
701,9.333,-1,-1
702,9.346,-1,-1
703,9.36,-1,-1
704,9.373,-1,-1
705,9.386,-1,-1
706,9.4,-1,-1
707,9.413,-1,-1
708,9.426,-1,-1
709,9.44,-1,-1
710,9.453,-1,-1
711,9.466,16.8,35.1
712,9.48,15.7,34.5
713,9.493,15.9,34.5
714,9.506,15.8,34.4
715,9.52,16.8,35.1
716,9.533,15.3,33.8
717,9.546,15.4,33.9
718,9.56,15.5,33.8
719,9.573,16.8,35.1
720,9.586,16.6,34.9
721,9.6,16.4,34.7
722,9.613,16.8,35.1
